accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,fit_seconds,n_train,n_test,features,exp,fold,variant,ratio,train_pos_rate,test_pos_rate
0.23770035998148573,0.3903188002001295,0.9997499908253514,0.23766066119690463,0.3840297373597829,-0.005875932886569536,0.36540485854469806,0.9997577081924529,259,218,2796295,871750,0.4570230607966457,0.7623393388030953,LightGBM,44,32.0,211043,3668522,"bytes_total,bytes_src,payload_mean_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->bot,0,nocat,50.0,0.7630814573333397,0.999869974883618
0.2582424202444472,0.40792773801585214,0.9997772647477655,0.25820348441744856,0.4104132333829792,-0.004797418743371253,0.44819718812790593,0.99980084928066,266,211,2720943,947102,0.44234800838574423,0.7417965155825514,XGBoost,44,15.6,211043,3668522,"bytes_total,bytes_src,payload_mean_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->bot,0,nocat,50.0,0.7630814573333397,0.999869974883618
0.799693446025402,0.6860250286189589,0.9999304614360941,0.7997230132127605,0.8886904205588011,0.010598932711871387,0.665561314311313,0.9998791326003704,273,204,734625,2933420,0.4276729559748428,0.2002769867872395,MLP(16),44,11.1,211043,3668522,"bytes_total,bytes_src,payload_mean_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->bot,0,nocat,50.0,0.7630814573333397,0.999869974883618
0.9557914188917056,0.9549324676332702,0.985068900469994,0.9565649352665404,0.9706076930346849,0.8830863919109009,0.9821954748672731,0.993043342093681,9533,467,1399,30810,0.0467,0.043435064733459594,"KAN(cat,1L)",42,7.4,168834,42209,"bytes_total,bytes_src,payload_mean_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->ton,1,nocat,50.0,0.7630808960280512,0.7630837025278969
0.971949110379303,0.9661746220000621,0.9859653519626578,0.9771492440001242,0.9815375019491658,0.923343979563777,0.9900667360054644,0.9953465632588255,9552,448,736,31473,0.0448,0.02285075599987581,DecisionTree(d=5),42,0.4,168834,42209,"bytes_total,bytes_src,payload_mean_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->ton,1,nocat,50.0,0.7630808960280512,0.7630837025278969
0.9944324670094056,0.9930077416250116,0.9969845809500124,0.9957154832500232,0.9963496279727232,0.9846272292931576,0.9997120882362073,0.999904945352382,9903,97,138,32071,0.0097,0.004284516749976715,LightGBM,42,2.7,168834,42209,"bytes_total,bytes_src,payload_mean_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->ton,1,nocat,50.0,0.7630808960280512,0.7630837025278969
0.9933426520410339,0.9889149694184856,0.9939662107803701,0.9973299388369711,0.9956452337781084,0.9815436361757874,0.9996135862647085,0.9998746545882722,9805,195,86,32123,0.0195,0.002670061163028967,XGBoost,42,1.6,168834,42209,"bytes_total,bytes_src,payload_mean_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->ton,1,nocat,50.0,0.7630808960280512,0.7630837025278969
0.9787959913762467,0.9646275776956751,0.9808660933660933,0.9915551553913502,0.9861816609797898,0.9408930239738212,0.9941525800242168,0.9978222862969964,9377,623,272,31937,0.0623,0.008444844608649756,MLP(16),42,8.4,168834,42209,"bytes_total,bytes_src,payload_mean_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->ton,1,nocat,50.0,0.7630808960280512,0.7630837025278969
0.9549622118505532,0.9551476217827315,0.9857362651452016,0.9547952435654631,0.9700190830665384,0.8814428027885861,0.9815642910366668,0.9931725316832591,9555,445,1456,30753,0.0445,0.04520475643453693,"KAN(cat,1L)",42,7.3,168834,42209,"bytes_total,bytes_src,byte_asymmetry,payload_mean_src,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->ton,2,nocat,50.0,0.7630808960280512,0.7630837025278969
0.9720912601577862,0.9673710081033251,0.9869441044471644,0.9763420162066503,0.9816144337620177,0.9239549922085663,0.9901511487472443,0.9953507847271607,9584,416,762,31447,0.0416,0.023657983793349685,DecisionTree(d=5),42,0.4,168834,42209,"bytes_total,bytes_src,byte_asymmetry,payload_mean_src,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->ton,2,nocat,50.0,0.7630808960280512,0.7630837025278969
0.9940060176739558,0.9922456471793598,0.9965504381875816,0.9955912943587196,0.9960706353767065,0.983442249337224,0.9996443245676675,0.9998754852622675,9889,111,142,32067,0.0111,0.004408705641280387,LightGBM,42,2.8,168834,42209,"bytes_total,bytes_src,byte_asymmetry,payload_mean_src,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->ton,2,nocat,50.0,0.7630808960280512,0.7630837025278969
0.9920633040346846,0.9866976388587041,0.9927343556764778,0.9968952777174082,0.9948104658187845,0.9779855696347699,0.9993650485889037,0.9997770688162188,9765,235,100,32109,0.0235,0.003104722282591822,XGBoost,42,1.7,168834,42209,"bytes_total,bytes_src,byte_asymmetry,payload_mean_src,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->ton,2,nocat,50.0,0.7630808960280512,0.7630837025278969
0.9795304318984103,0.9679358735136142,0.9833163721590032,0.9899717470272285,0.9866328361903584,0.9430565640032127,0.9942595718587972,0.9979403933094054,9459,541,323,31886,0.0541,0.010028252972771585,MLP(16),42,5.0,168834,42209,"bytes_total,bytes_src,byte_asymmetry,payload_mean_src,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->ton,2,nocat,50.0,0.7630808960280512,0.7630837025278969
0.9555308109644862,0.9553478065137073,0.9855917008196722,0.9556956130274147,0.9704134550212008,0.8827142448827615,0.9833222810394611,0.9938106813157987,9550,450,1427,30782,0.045,0.044304386972585305,"KAN(cat,1L)",42,6.6,168834,42209,"bytes_total,payload_mean_src,bytes_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->ton,3,nocat,50.0,0.7630808960280512,0.7630837025278969
0.9723992513445,0.9672625275544102,0.9866746096444472,0.9770250551088205,0.9818261235823597,0.9246778597768591,0.9903492579713745,0.9954917214239042,9575,425,740,31469,0.0425,0.022974944891179485,DecisionTree(d=5),42,0.4,168834,42209,"bytes_total,payload_mean_src,bytes_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->ton,3,nocat,50.0,0.7630808960280512,0.7630837025278969
