accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,fit_seconds,n_train,n_test,features,unseen_proto_h,unseen_state_h,exp,fold,variant,ratio,train_pos_rate,test_pos_rate
0.9889533108719591,0.9944759401806684,1.0,0.9889518803613369,0.9944452554394348,0.1070391019471372,0.9992960684420232,0.9999999051812998,95,0,8105,725504,0.0,0.0110481196386631,"KAN(cat,1L)",44,10.5,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,3,cat,50.0,0.9803921568627452,0.9998705199917132
0.996658052838747,0.9930663337009225,0.9999986323084308,0.9966589831913184,0.998326014768209,0.1908445074491146,0.9998077134305948,0.999999973326374,94,1,2451,731158,0.0105263157894736,0.0033410168086814,"KAN(cat,ML)",44,49.6,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,3,cat,50.0,0.9803921568627452,0.9998705199917132
0.9948221626159868,0.9921482697186104,0.9999986297841088,0.9948228552266944,0.9974040279591452,0.1541800458203614,0.9944245432333056,0.9999985708902124,94,1,3798,729811,0.0105263157894736,0.0051771447733056,DecisionTree(d=5),44,1.4,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,3,cat,50.0,0.9803921568627452,0.9998705199917132
0.996723474316618,0.9930990486757932,0.9999986323982128,0.9967244131410602,0.998358838243165,0.1926765435987331,0.9999067551472816,0.999999984370684,94,1,2403,731206,0.0105263157894736,0.0032755868589398,LightGBM,44,9.9,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,3,cat,50.0,0.9803921568627452,0.9998705199917132
0.9998568905171568,0.9736160543286684,0.9999931834975202,0.999863687604705,0.999928431358516,0.6698376196993643,0.999898913597384,0.9999999833403546,90,5,100,733509,0.0526315789473684,0.000136312395295,XGBoost,44,3.2,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,3,cat,50.0,0.9803921568627452,0.9998705199917132
0.99975875830035,0.9419921238698,0.9999850024677758,0.9997737214238104,0.9998793507845266,0.544982063611514,0.9996577841444434,0.9999999520654028,84,11,166,733443,0.1157894736842105,0.0002262785761897,MLP(16),44,4.1,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,3,cat,50.0,0.9803921568627452,0.9998705199917132
0.9893649210035654,0.994681771897564,1.0,0.989363543795128,0.9946533371248067,0.1090890575128756,0.9990404540034986,0.9999998720973078,95,0,7803,725806,0.0,0.010636456204872,"KAN(cat,1L)",44,10.5,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,4,cat,50.0,0.9803921568627452,0.9998705199917132
0.9964740549322344,0.9982367991668586,1.0,0.9964735983337172,0.9982336847984236,0.1878734082827713,0.9999350076847908,0.9999999881147716,95,0,2587,731022,0.0,0.0035264016662827,"KAN(cat,ML)",44,48.8,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,4,cat,50.0,0.9803921568627452,0.9998705199917132
0.9946449794467525,0.9973221429944288,1.0,0.9946442859888578,0.9973149528220332,0.1532380838116094,0.9996646858562472,0.9999999337865624,95,0,3929,729680,0.0,0.0053557140111421,DecisionTree(d=5),44,1.4,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,4,cat,50.0,0.9803921568627452,0.9998705199917132
0.9966757711556704,0.9983376703393768,1.0,0.996675340678754,0.9983349023982456,0.193301557808458,0.9999076519393558,0.999999984558642,95,0,2439,731170,0.0,0.003324659321246,LightGBM,44,10.1,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,4,cat,50.0,0.9803921568627452,0.9998705199917132
0.9998350833578664,0.978867625669805,0.9999945466641944,0.9998405144975048,0.9999175246488834,0.6473051441238059,0.9999378056760626,0.999999988458216,91,4,117,733492,0.0421052631578947,0.0001594855024951,XGBoost,44,3.2,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,4,cat,50.0,0.9803921568627452,0.9998705199917132
0.999704240402124,0.9472273377235012,0.9999863650990166,0.9997178333417392,0.9998520811903852,0.5102547249958168,0.999689458840508,0.9999999562337528,85,10,207,733402,0.1052631578947368,0.0002821666582607,MLP(16),44,3.6,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,4,cat,50.0,0.9803921568627452,0.9998705199917132
0.9886875361181076,0.9943430355952558,1.0,0.9886860711905116,0.9943108522891624,0.1057744218702665,0.9991702305781562,0.999999888241928,95,0,8300,725309,0.0,0.0113139288094884,"KAN(cat,1L)",44,10.4,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,5,cat,50.0,0.9803921568627452,0.9998705199917132
0.9965571947270288,0.9982783744474236,1.0,0.9965567488948472,0.9982754053411912,0.1900550043326535,0.9999043015241662,0.9999999841754268,95,0,2526,731083,0.0,0.0034432511051527,"KAN(cat,ML)",44,48.9,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,5,cat,50.0,0.9803921568627452,0.9998705199917132
0.9947022232398895,0.9973507685974408,1.0,0.9947015371948816,0.99734373152759,0.1540485338681273,0.9996630716305136,0.9999999336233024,95,0,3887,729722,0.0,0.0052984628051182,DecisionTree(d=5),44,1.5,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,5,cat,50.0,0.9803921568627452,0.9998705199917132
0.996677134103126,0.9983383519013534,1.0,0.9966767038027068,0.9983355862313794,0.1933398428996219,0.999917064668968,0.9999999851211592,95,0,2438,731171,0.0,0.0033232961972931,LightGBM,44,9.8,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,5,cat,50.0,0.9803921568627452,0.9998705199917132
0.9998269056731324,0.978863536297946,0.999994546619586,0.999832335753787,0.9999134346080256,0.6381634203014227,0.999919719173508,0.9999999854719304,91,4,123,733486,0.0421052631578947,0.0001676642462129,XGBoost,44,3.2,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,5,cat,50.0,0.9803921568627452,0.9998705199917132
0.9997056033495796,0.9472280192854776,0.9999863651176076,0.9997191964656922,0.9998527629442504,0.5111311299054134,0.999677944030274,0.9999999540879884,85,10,206,733403,0.1052631578947368,0.0002808035343077,MLP(16),44,4.3,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,5,cat,50.0,0.9803921568627452,0.9998705199917132
