exp,seed,metodo,bal_acc,accordo_con_float,budget,normali,guadagni_q15,bias
unsw->ton,45,intero + guadagni interi n=32,0.6550584771551944,,32.0,,"[-52, -93, -29, 80, 64, 35, -126, -90, 118, 142, 154, -366]",0.0
unsw->ton,45,intero + guadagni float  n=128,0.7465175951581481,,128.0,28.0,,
unsw->ton,45,intero + guadagni interi n=128,0.7133341020300012,,128.0,,"[-45, -78, -118, -12, 26, 17, -115, -58, 105, 148, -216, -731]",0.0
unsw->ton,46,float non adattato,0.2792938901411424,,,,,
unsw->ton,46,intero non adattato,0.3943111660239812,0.9173580739470155,,,,
unsw->ton,46,intero + guadagni float  n=8,0.5201466092511693,,8.0,2.0,,
unsw->ton,46,intero + guadagni interi n=8,0.5800124299910427,,8.0,,"[-32, 39, -249, 218, -128, -1, 97, -34, 55, -35, -91, -75]",1960.0
unsw->ton,46,intero + guadagni float  n=32,0.7027609645904982,,32.0,6.0,,
unsw->ton,46,intero + guadagni interi n=32,0.6921550325569676,,32.0,,"[-121, -256, -75, 128, 114, -73, 39, -116, 100, 168, -220, -2048]",164.0
unsw->ton,46,intero + guadagni float  n=128,0.7514193230597292,,128.0,23.0,,
