exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,ratio
bot->ton,45,ogni_batch_int,17,0.895,0.846786906965086,17,544,20.0
bot->ton,45,martingala_int,17,0.895,0.8579518363493135,14,448,20.0
bot->ton,45,statico,18,0.947,0.6594968311751668,0,0,20.0
bot->ton,45,ogni_batch_int,18,0.947,0.8528307412171294,18,576,20.0
bot->ton,45,martingala_int,18,0.947,0.7733891038940596,15,480,20.0
bot->ton,45,statico,19,1.0,0.6384942769582829,0,0,20.0
bot->ton,45,ogni_batch_int,19,1.0,0.8574820282743116,19,608,20.0
bot->ton,45,martingala_int,19,1.0,0.7632403399804766,16,512,20.0
bot->ton,46,statico,0,0.0,0.98175,0,0,20.0
bot->ton,46,ogni_batch_int,0,0.0,0.98175,0,0,20.0
bot->ton,46,martingala_int,0,0.0,0.98175,0,0,20.0
bot->ton,46,statico,1,0.053,0.8954835053223091,0,0,20.0
bot->ton,46,ogni_batch_int,1,0.053,0.8954835053223091,1,32,20.0
bot->ton,46,martingala_int,1,0.053,0.8954835053223091,0,0,20.0
bot->ton,46,statico,2,0.105,0.8897350683333396,0,0,20.0
bot->ton,46,ogni_batch_int,2,0.105,0.6100517260795352,2,64,20.0
bot->ton,46,martingala_int,2,0.105,0.8897350683333396,0,0,20.0
bot->ton,46,statico,3,0.158,0.8846681496932434,0,0,20.0
bot->ton,46,ogni_batch_int,3,0.158,0.6427491825995475,3,96,20.0
bot->ton,46,martingala_int,3,0.158,0.7420978231938975,1,32,20.0
bot->ton,46,statico,4,0.211,0.8759224758372512,0,0,20.0
bot->ton,46,ogni_batch_int,4,0.211,0.6276532490452095,4,128,20.0
bot->ton,46,martingala_int,4,0.211,0.8104792565732328,2,64,20.0
bot->ton,46,statico,5,0.263,0.8630314929710202,0,0,20.0
bot->ton,46,ogni_batch_int,5,0.263,0.7028026911699259,5,160,20.0
bot->ton,46,martingala_int,5,0.263,0.812829131652661,3,96,20.0
bot->ton,46,statico,6,0.316,0.8459599335865401,0,0,20.0
bot->ton,46,ogni_batch_int,6,0.316,0.7113036725921029,6,192,20.0
bot->ton,46,martingala_int,6,0.316,0.8134630884201215,4,128,20.0
bot->ton,46,statico,7,0.368,0.8344678642580905,0,0,20.0
bot->ton,46,ogni_batch_int,7,0.368,0.8324347012917437,7,224,20.0
bot->ton,46,martingala_int,7,0.368,0.9374188723889885,5,160,20.0
bot->ton,46,statico,8,0.421,0.8176201905442559,0,0,20.0
bot->ton,46,ogni_batch_int,8,0.421,0.8236504202837956,8,256,20.0
bot->ton,46,martingala_int,8,0.421,0.9413795578750386,6,192,20.0
bot->ton,46,statico,9,0.474,0.8125362453318885,0,0,20.0
bot->ton,46,ogni_batch_int,9,0.474,0.8389665172151022,9,288,20.0
bot->ton,46,martingala_int,9,0.474,0.9436266129141727,7,224,20.0
bot->ton,46,statico,10,0.526,0.7962943789338054,0,0,20.0
bot->ton,46,ogni_batch_int,10,0.526,0.8712240142532344,10,320,20.0
bot->ton,46,martingala_int,10,0.526,0.941889959100779,8,256,20.0
bot->ton,46,statico,11,0.579,0.7756552152094491,0,0,20.0
bot->ton,46,ogni_batch_int,11,0.579,0.917026770826166,11,352,20.0
bot->ton,46,martingala_int,11,0.579,0.9400507573356676,9,288,20.0
bot->ton,46,statico,12,0.632,0.7592852700459937,0,0,20.0
bot->ton,46,ogni_batch_int,12,0.632,0.9061349865356048,12,384,20.0
bot->ton,46,martingala_int,12,0.632,0.8754619749016652,10,320,20.0
bot->ton,46,statico,13,0.684,0.7457285518953132,0,0,20.0
bot->ton,46,ogni_batch_int,13,0.684,0.9185365778943029,13,416,20.0
bot->ton,46,martingala_int,13,0.684,0.8704159751038112,11,352,20.0
bot->ton,46,statico,14,0.737,0.731805938256963,0,0,20.0
bot->ton,46,ogni_batch_int,14,0.737,0.8625583310203437,14,448,20.0
bot->ton,46,martingala_int,14,0.737,0.856169160708232,12,384,20.0
bot->ton,46,statico,15,0.789,0.7185882599139737,0,0,20.0
bot->ton,46,ogni_batch_int,15,0.789,0.7702882269559359,15,480,20.0
bot->ton,46,martingala_int,15,0.789,0.7629160050956001,13,416,20.0
bot->ton,46,statico,16,0.842,0.7000662990784732,0,0,20.0
bot->ton,46,ogni_batch_int,16,0.842,0.8595709581780973,16,512,20.0
bot->ton,46,martingala_int,16,0.842,0.8460386805171529,14,448,20.0
bot->ton,46,statico,17,0.895,0.6787551431663267,0,0,20.0
bot->ton,46,ogni_batch_int,17,0.895,0.8550309383543558,17,544,20.0
bot->ton,46,martingala_int,17,0.895,0.9129088531650138,15,480,20.0
bot->ton,46,statico,18,0.947,0.657004472636806,0,0,20.0
bot->ton,46,ogni_batch_int,18,0.947,0.905564885689821,18,576,20.0
bot->ton,46,martingala_int,18,0.947,0.9064561178104646,16,512,20.0
bot->ton,46,statico,19,1.0,0.6422785639630373,0,0,20.0
bot->ton,46,ogni_batch_int,19,1.0,0.917128147275633,19,608,20.0
bot->ton,46,martingala_int,19,1.0,0.913943543971996,17,544,20.0
bot->ton,47,statico,0,0.0,0.97595,0,0,20.0
bot->ton,47,ogni_batch_int,0,0.0,0.97595,0,0,20.0
bot->ton,47,martingala_int,0,0.0,0.97595,0,0,20.0
bot->ton,47,statico,1,0.053,0.9167905614687166,0,0,20.0
