exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,innesco,vuoti
ton->bot,44,ogni_batch,3,0.158,0.8973615749163567,3,96,False,0.05325
ton->bot,44,su_innesco,3,0.158,0.9171673388214096,0,0,False,0.05325
ton->bot,44,oracolo,3,0.158,0.9405928420665948,3,96,False,0.05325
ton->bot,44,stat_13x13,3,0.158,0.9371754616808461,3,96,False,0.05325
ton->bot,44,martingala,3,0.158,0.4310293230475448,1,32,False,0.05325
ton->bot,44,stat_13x13_adaptive,3,0.158,0.8911304075205329,3,96,False,0.05325
ton->bot,44,statico,4,0.211,0.899508492442888,0,0,False,0.0611
ton->bot,44,ogni_batch,4,0.211,0.9123765114729916,4,128,False,0.0611
ton->bot,44,su_innesco,4,0.211,0.899508492442888,0,0,False,0.0611
ton->bot,44,oracolo,4,0.211,0.9510380028881308,4,128,False,0.0611
ton->bot,44,stat_13x13,4,0.211,0.9408549809778404,4,128,False,0.0611
ton->bot,44,martingala,4,0.211,0.8790604089853534,2,64,False,0.0611
ton->bot,44,stat_13x13_adaptive,4,0.211,0.9222447054541013,4,128,False,0.0611
ton->bot,44,statico,5,0.263,0.8867966751826585,0,0,False,0.0698
ton->bot,44,ogni_batch,5,0.263,0.9563330921471556,5,160,False,0.0698
ton->bot,44,su_innesco,5,0.263,0.8867966751826585,0,0,False,0.0698
ton->bot,44,oracolo,5,0.263,0.9578550428105466,5,160,False,0.0698
ton->bot,44,stat_13x13,5,0.263,0.9396923916645827,5,160,False,0.0698
ton->bot,44,martingala,5,0.263,0.8571191385242213,3,96,False,0.0698
ton->bot,44,stat_13x13_adaptive,5,0.263,0.6387308193254865,5,160,False,0.0698
ton->bot,44,statico,6,0.316,0.8690162506151042,0,0,False,0.07575
ton->bot,44,ogni_batch,6,0.316,0.9536022885103456,6,192,False,0.07575
ton->bot,44,su_innesco,6,0.316,0.8690162506151042,0,0,False,0.07575
ton->bot,44,oracolo,6,0.316,0.954694814499682,6,192,False,0.07575
ton->bot,44,stat_13x13,6,0.316,0.9734179874463496,6,192,False,0.07575
ton->bot,44,martingala,6,0.316,0.8949899800193526,4,128,False,0.07575
ton->bot,44,stat_13x13_adaptive,6,0.316,0.9371409791147407,6,192,False,0.07575
ton->bot,44,statico,7,0.368,0.8551386324648734,0,0,False,0.08605
ton->bot,44,ogni_batch,7,0.368,0.9533934329739764,7,224,False,0.08605
ton->bot,44,su_innesco,7,0.368,0.8551386324648734,0,0,False,0.08605
ton->bot,44,oracolo,7,0.368,0.9539598540604988,7,224,False,0.08605
ton->bot,44,stat_13x13,7,0.368,0.9698441689598101,7,224,False,0.08605
ton->bot,44,martingala,7,0.368,0.9350805660500752,5,160,False,0.08605
ton->bot,44,stat_13x13_adaptive,7,0.368,0.9341442341068814,7,224,False,0.08605
ton->bot,44,statico,8,0.421,0.8410700514544529,0,0,False,0.08985
ton->bot,44,ogni_batch,8,0.421,0.9518565140771225,8,256,False,0.08985
ton->bot,44,su_innesco,8,0.421,0.8410700514544529,0,0,False,0.08985
ton->bot,44,oracolo,8,0.421,0.9516613662668495,8,256,False,0.08985
