exp,seed,model,bal_soglia_attuale,bal_soglia_oracolo,roc_auc_target,roc_auc_source,rec_normal_attuale,rec_attack_attuale,thr_oracolo,thr_attuale,fit_seconds,bal_prior,bal_mediana,bal_quantile
ton->bot,51,XGBoost,0.5631870138650252,0.5691668686133374,0.4402577255314371,0.9999326433312843,0.6750524109014675,0.45132161682858307,0.5543733835220337,0.5,20.4,0.46625146968409614,0.5,0.5631879680517924
ton->bot,51,MLP(16),0.508211269226917,0.5957912524895266,0.46205205228555973,0.9988598151425395,0.6163522012578616,0.40007033719597224,0.012661544860074607,0.5,56.1,0.49878262400349316,0.5,0.5073712002251825
bot->ton,42,"KAN(cat,1L)",0.590449634569649,0.8196986884248306,0.8249252136385935,0.9994081633550009,0.827,0.3538992691392982,-1.3524523772898616,0.0,3.5,0.5644227053644058,0.5025527428699167,0.5038054857398335
bot->ton,42,"KAN(cat,ML)",0.6267136582155076,0.7137728015498966,0.6613893927087796,0.9999484900825828,0.81524,0.43818731643101533,-1.672495030581503,0.0,21.5,0.5419061527045572,0.5,0.5
bot->ton,42,DecisionTree(d=5),0.4521573397167216,0.7426273242550127,0.6652050289053235,0.9997868403588115,0.83044,0.07387467943344324,0.07578558225508332,0.5,0.1,0.5,0.5,0.5
bot->ton,42,LightGBM,0.6867144766304651,0.8318137560154741,0.7901410236396491,0.9999498964967104,0.82044,0.5529889532609303,0.011493009312856385,0.5,2.5,0.5136761333929447,0.5,0.5
bot->ton,42,XGBoost,0.6327410243226964,0.6778436163633315,0.6243305671156152,0.9999468199658066,0.46292,0.8025620486453928,0.28639379143714905,0.5,1.8,0.5027451619132779,0.6743361109765715,0.5
bot->ton,42,MLP(16),0.7174780284768665,0.7276274194469801,0.6002228461342621,0.9972387695634403,0.48996,0.9449960569537329,0.5068135946303434,0.5,2.8,0.5092785546717337,0.7000046754593493,0.5
bot->ton,43,"KAN(cat,1L)",0.7105053078991326,0.8353638265556405,0.8666284890370894,0.999353489005797,0.8282,0.5928106157982651,-1.9368608084548502,0.0,3.3,0.5585418298839441,0.5138806095887434,0.5168736382208479
bot->ton,43,"KAN(cat,ML)",0.6037280456772415,0.7923672114900989,0.7724045014064567,0.9999501601993592,0.80724,0.40021609135448294,-3.623785972595215,0.0,21.4,0.5398219054538229,0.5,0.5
bot->ton,43,DecisionTree(d=5),0.47994574914774313,0.7704157336860342,0.7157786183193309,0.9997860053004234,0.82992,0.1299714982954863,0.07578558225508322,0.5,0.1,0.5027829530622256,0.5,0.5
bot->ton,43,LightGBM,0.7678142698533932,0.79556208788957,0.7388721534000235,0.9999508634064229,0.77644,0.7591885397067863,0.10024086916511209,0.5,2.4,0.53281,0.7931826798432717,0.5
bot->ton,43,XGBoost,0.6487673231372988,0.6684053361524562,0.6619388108145029,0.9999468199658066,0.46028,0.8372546462745974,0.8119877576828003,0.5,1.8,0.5018596381090764,0.6642513154250729,0.5
bot->ton,43,MLP(16),0.7456800139714238,0.7477679363896599,0.6174541803120905,0.9998264836570283,0.57286,0.9185000279428476,0.3453531168426185,0.5,3.2,0.5144051448370932,0.7458659757952846,0.5
bot->ton,44,"KAN(cat,1L)",0.49563425904882547,0.8290873561719541,0.768433929819986,0.9993851772741058,0.83572,0.15554851809765094,-1.7115716860231573,0.0,3.4,0.5345343454853673,0.5146771429369795,0.5284391063256397
