exp,ratio,seed,batch,politica,bal_acc,norma_guadagni,bias,n_min,saltati
bot->ton,50.0,43,18,statico,0.6376664146088139,3.4641016151377544,0.0,,
bot->ton,50.0,43,18,rls,0.7635301522296424,4.544032775251548,2.2638159281025363,8.0,0.0
bot->ton,50.0,43,18,rls_guardia,0.8640928825547634,4.294673866921747,1.8588388476719315,8.0,3.0
bot->ton,50.0,43,18,rls_prossimale,0.7204961451999917,4.719636085712444,1.76422057501397,8.0,0.0
bot->ton,50.0,43,18,rls_guardia_prossimale,0.8647485298359385,6.1855331660807735,1.6006612009853247,8.0,3.0
bot->ton,50.0,43,19,statico,0.6165817044329972,3.4641016151377544,0.0,,
bot->ton,50.0,43,19,rls,0.770468211908713,6.933949706383519,2.1745317712997623,15.0,0.0
bot->ton,50.0,43,19,rls_guardia,0.9334505510192036,6.317859656411183,1.8634268468740407,9.0,3.0
bot->ton,50.0,43,19,rls_prossimale,0.8137139202178547,5.851922307714657,1.7111066118979532,11.0,0.0
bot->ton,50.0,43,19,rls_guardia_prossimale,0.9345266478075214,8.653517336688589,1.6635159901277303,2.0,3.0
bot->ton,50.0,44,0,statico,0.9849,3.4641016151377544,0.0,,
bot->ton,50.0,44,0,rls,0.9849,3.4641016151377544,0.0,0.0,0.0
bot->ton,50.0,44,0,rls_guardia,0.9849,3.4641016151377544,0.0,0.0,1.0
bot->ton,50.0,44,0,rls_prossimale,0.9849,3.4641016151377544,0.0,0.0,0.0
bot->ton,50.0,44,0,rls_guardia_prossimale,0.9849,3.4641016151377544,0.0,0.0,1.0
bot->ton,50.0,44,1,statico,0.96668761539291,3.4641016151377544,0.0,,
bot->ton,50.0,44,1,rls,0.4999493773412979,1.9945717727856007,1.931598752579839,11.0,0.0
bot->ton,50.0,44,1,rls_guardia,0.96668761539291,3.4641016151377544,0.0,1.0,1.0
bot->ton,50.0,44,1,rls_prossimale,0.6376798441974497,2.85998585190065,1.4518474978463554,4.0,0.0
bot->ton,50.0,44,1,rls_guardia_prossimale,0.96668761539291,3.4641016151377544,0.0,1.0,1.0
bot->ton,50.0,44,2,statico,0.955533913560447,3.4641016151377544,0.0,,
bot->ton,50.0,44,2,rls,0.810070926427808,3.605597619169815,1.7117153183027445,2.0,0.0
bot->ton,50.0,44,2,rls_guardia,0.5535372848948374,2.2247242460870624,2.096073801115855,2.0,1.0
bot->ton,50.0,44,2,rls_prossimale,0.6309104988371341,4.821627628467093,2.9802816793492606,2.0,0.0
bot->ton,50.0,44,2,rls_guardia_prossimale,0.6787496867168228,3.017146638057099,1.657254233341842,2.0,1.0
bot->ton,50.0,44,3,statico,0.9408570448849644,3.4641016151377544,0.0,,
bot->ton,50.0,44,3,rls,0.7928797241892449,3.614229255269698,0.8107349019708282,16.0,0.0
bot->ton,50.0,44,3,rls_guardia,0.7235116023458497,3.1834614759690854,1.0299455092984735,13.0,1.0
bot->ton,50.0,44,3,rls_prossimale,0.6068827550416958,4.6198335694925605,2.044078324023677,6.0,0.0
bot->ton,50.0,44,3,rls_guardia_prossimale,0.6332677873040805,3.491774803316714,1.0884834396303202,2.0,1.0
bot->ton,50.0,44,4,statico,0.9250732616308376,3.4641016151377544,0.0,,
bot->ton,50.0,44,4,rls,0.7984217743842967,4.201271761798019,-0.058273733399052,1.0,0.0
bot->ton,50.0,44,4,rls_guardia,0.7223768438322478,4.665544151305555,1.0408238050458167,13.0,1.0
bot->ton,50.0,44,4,rls_prossimale,0.5988174934954834,4.95942204637092,2.0140929309347326,10.0,0.0
bot->ton,50.0,44,4,rls_guardia_prossimale,0.6495028928156651,4.528097910887692,1.1322496229565049,14.0,1.0
bot->ton,50.0,44,5,statico,0.9151751451210152,3.4641016151377544,0.0,,
bot->ton,50.0,44,5,rls,0.8022476191505692,4.673842919523831,0.4268901416225301,4.0,0.0
bot->ton,50.0,44,5,rls_guardia,0.7498844707001481,4.660069237908109,0.880989966800923,4.0,1.0
bot->ton,50.0,44,5,rls_prossimale,0.6100136202964036,6.382741682939546,1.6820019928499077,4.0,0.0
