exp,seed,regola,budget,normali_selezionate,q_conformal,bal_partenza,bal_acc,esito
bot->ton,43,casuale,32,6,0.23367718595692688,0.6143289645001646,0.9155074279184343,ok
bot->ton,43,margine,32,0,0.23367718595692688,0.6143289645001646,,fallita: una sola classe
bot->ton,43,strat_z,32,7,0.23367718595692688,0.6143289645001646,0.8241231804722344,ok
bot->ton,43,conformal,32,2,0.23367718595692688,0.6143289645001646,0.48982056858246453,ok
bot->ton,43,conformal_top,32,0,0.23367718595692688,0.6143289645001646,,fallita: una sola classe
bot->ton,43,misto,32,4,0.23367718595692688,0.6143289645001646,0.861469402227519,ok
bot->ton,43,adattiva,32,8,0.23367718595692688,0.6143289645001646,0.8705389689432828,ok
bot->ton,43,bilanciato,32,16,0.23367718595692688,0.6143289645001646,0.8995833610957411,ok
bot->ton,43,casuale,128,26,0.23367718595692688,0.6143289645001646,0.8983951172569734,ok
bot->ton,43,margine,128,0,0.23367718595692688,0.6143289645001646,,fallita: una sola classe
bot->ton,43,strat_z,128,29,0.23367718595692688,0.6143289645001646,0.9417886136261447,ok
bot->ton,43,conformal,128,8,0.23367718595692688,0.6143289645001646,0.5591601710579168,ok
bot->ton,43,conformal_top,128,0,0.23367718595692688,0.6143289645001646,,fallita: una sola classe
bot->ton,43,misto,128,12,0.23367718595692688,0.6143289645001646,0.8543835933886046,ok
bot->ton,43,adattiva,128,34,0.23367718595692688,0.6143289645001646,0.9363233148688048,ok
bot->ton,43,bilanciato,128,64,0.23367718595692688,0.6143289645001646,0.9130310184558832,ok
bot->ton,43,casuale,512,119,0.23367718595692688,0.6143289645001646,0.9295753598513108,ok
bot->ton,43,margine,512,1,0.23367718595692688,0.6143289645001646,0.503472394404906,ok
bot->ton,43,strat_z,512,114,0.23367718595692688,0.6143289645001646,0.9303828753711096,ok
bot->ton,43,conformal,512,32,0.23367718595692688,0.6143289645001646,0.7667171667283403,ok
bot->ton,43,conformal_top,512,1,0.23367718595692688,0.6143289645001646,0.503472394404906,ok
bot->ton,43,misto,512,62,0.23367718595692688,0.6143289645001646,0.9202564410707483,ok
bot->ton,43,adattiva,512,113,0.23367718595692688,0.6143289645001646,0.9296214765830926,ok
bot->ton,43,bilanciato,512,256,0.23367718595692688,0.6143289645001646,0.9265010353979493,ok
bot->ton,44,casuale,8,2,0.10297714535807723,0.6903818532317456,0.7977598077078321,ok
bot->ton,44,margine,8,0,0.10297714535807723,0.6903818532317456,,fallita: una sola classe
bot->ton,44,strat_z,8,1,0.10297714535807723,0.6903818532317456,0.6649309128163239,ok
bot->ton,44,conformal,8,1,0.10297714535807723,0.6903818532317456,0.5514860460526729,ok
bot->ton,44,conformal_top,8,0,0.10297714535807723,0.6903818532317456,,fallita: una sola classe
bot->ton,44,misto,8,1,0.10297714535807723,0.6903818532317456,0.7479242496993808,ok
bot->ton,44,adattiva,8,3,0.10297714535807723,0.6903818532317456,0.7388637681703072,ok
bot->ton,44,bilanciato,8,4,0.10297714535807723,0.6903818532317456,0.7320468481385887,ok
bot->ton,44,casuale,32,10,0.10297714535807723,0.6903818532317456,0.8422371231874262,ok
bot->ton,44,margine,32,0,0.10297714535807723,0.6903818532317456,,fallita: una sola classe
bot->ton,44,strat_z,32,9,0.10297714535807723,0.6903818532317456,0.7811458816282124,ok
bot->ton,44,conformal,32,4,0.10297714535807723,0.6903818532317456,0.7745552479027376,ok
bot->ton,44,conformal_top,32,0,0.10297714535807723,0.6903818532317456,,fallita: una sola classe
bot->ton,44,misto,32,1,0.10297714535807723,0.6903818532317456,0.4262041781341924,ok
bot->ton,44,adattiva,32,11,0.10297714535807723,0.6903818532317456,0.8232326720925814,ok
bot->ton,44,bilanciato,32,16,0.10297714535807723,0.6903818532317456,0.9053313830905374,ok
bot->ton,44,casuale,128,28,0.10297714535807723,0.6903818532317456,0.9165929135746325,ok
bot->ton,44,margine,128,0,0.10297714535807723,0.6903818532317456,,fallita: una sola classe
bot->ton,44,strat_z,128,28,0.10297714535807723,0.6903818532317456,0.9198220870037419,ok
bot->ton,44,conformal,128,17,0.10297714535807723,0.6903818532317456,0.8411176545607492,ok
bot->ton,44,conformal_top,128,0,0.10297714535807723,0.6903818532317456,,fallita: una sola classe
bot->ton,44,misto,128,15,0.10297714535807723,0.6903818532317456,0.8389028937600687,ok
bot->ton,44,adattiva,128,28,0.10297714535807723,0.6903818532317456,0.8346099524214202,ok
bot->ton,44,bilanciato,128,64,0.10297714535807723,0.6903818532317456,0.9166288349494238,ok
bot->ton,44,casuale,512,125,0.10297714535807723,0.6903818532317456,0.9340038674142781,ok
bot->ton,44,margine,512,3,0.10297714535807723,0.6903818532317456,0.48153623560294256,ok
bot->ton,44,strat_z,512,120,0.10297714535807723,0.6903818532317456,0.9255919016066132,ok
bot->ton,44,conformal,512,65,0.10297714535807723,0.6903818532317456,0.822869667988994,ok
bot->ton,44,conformal_top,512,3,0.10297714535807723,0.6903818532317456,0.48153623560294256,ok
bot->ton,44,misto,512,55,0.10297714535807723,0.6903818532317456,0.931951411295304,ok
bot->ton,44,adattiva,512,126,0.10297714535807723,0.6903818532317456,0.9381131287845939,ok
bot->ton,44,bilanciato,512,256,0.10297714535807723,0.6903818532317456,0.934996632277433,ok
