exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,innesco,vuoti,ratio
ton->bot,43,statico,17,0.895,0.7334663553968405,0,0,True,0.1645,3.0
ton->bot,43,ogni_batch,17,0.895,0.9399746343721622,17,544,True,0.1645,3.0
ton->bot,43,su_innesco,17,0.895,0.9054668678253638,4,128,True,0.1645,3.0
ton->bot,43,oracolo,17,0.895,0.948490743063992,17,544,True,0.1645,3.0
ton->bot,43,stat_13x13,17,0.895,0.8979276279976887,17,544,True,0.1645,3.0
ton->bot,43,martingala,17,0.895,0.8503779940232616,15,480,True,0.1645,3.0
ton->bot,43,stat_13x13_adaptive,17,0.895,0.7442424839223991,17,544,True,0.1645,3.0
ton->bot,43,statico,18,0.947,0.7242157592861156,0,0,True,0.17445,3.0
ton->bot,43,ogni_batch,18,0.947,0.9811117534851514,18,576,True,0.17445,3.0
ton->bot,43,su_innesco,18,0.947,0.9148832621278041,5,160,True,0.17445,3.0
ton->bot,43,oracolo,18,0.947,0.9755859757770549,18,576,True,0.17445,3.0
ton->bot,43,stat_13x13,18,0.947,0.9147044317276161,18,576,True,0.17445,3.0
ton->bot,43,martingala,18,0.947,0.8302564705574935,16,512,True,0.17445,3.0
ton->bot,43,stat_13x13_adaptive,18,0.947,0.9112650086883811,18,576,True,0.17445,3.0
ton->bot,43,statico,19,1.0,0.7200720072007201,0,0,True,0.17885,3.0
ton->bot,43,ogni_batch,19,1.0,0.49807480748074806,19,608,True,0.17885,3.0
ton->bot,43,su_innesco,19,1.0,0.9982248224822482,6,192,True,0.17885,3.0
ton->bot,43,oracolo,19,1.0,0.9977997799779978,19,608,True,0.17885,3.0
ton->bot,43,stat_13x13,19,1.0,0.991974197419742,19,608,True,0.17885,3.0
ton->bot,43,martingala,19,1.0,0.991974197419742,17,544,True,0.17885,3.0
ton->bot,43,stat_13x13_adaptive,19,1.0,0.7376237623762376,19,608,True,0.17885,3.0
ton->bot,44,statico,0,0.0,0.9676430042580578,0,0,False,0.0344,3.0
ton->bot,44,ogni_batch,0,0.0,0.9676430042580578,0,0,False,0.0344,3.0
ton->bot,44,su_innesco,0,0.0,0.9676430042580578,0,0,False,0.0344,3.0
ton->bot,44,oracolo,0,0.0,0.9676430042580578,0,0,False,0.0344,3.0
ton->bot,44,stat_13x13,0,0.0,0.9676430042580578,0,0,False,0.0344,3.0
ton->bot,44,martingala,0,0.0,0.9676430042580578,0,0,False,0.0344,3.0
ton->bot,44,stat_13x13_adaptive,0,0.0,0.9676430042580578,0,0,False,0.0344,3.0
ton->bot,44,statico,1,0.053,0.9522425775838934,0,0,False,0.04,3.0
ton->bot,44,ogni_batch,1,0.053,0.9537926730974537,1,32,False,0.04,3.0
ton->bot,44,su_innesco,1,0.053,0.9522425775838934,0,0,False,0.04,3.0
ton->bot,44,oracolo,1,0.053,0.9353257644179465,1,32,False,0.04,3.0
ton->bot,44,stat_13x13,1,0.053,0.94543847719224,1,32,False,0.04,3.0
ton->bot,44,martingala,1,0.053,0.9522425775838934,0,0,False,0.04,3.0
ton->bot,44,stat_13x13_adaptive,1,0.053,0.9462256553696979,1,32,False,0.04,3.0
ton->bot,44,statico,2,0.105,0.9363115599953964,0,0,False,0.0469,3.0
ton->bot,44,ogni_batch,2,0.105,0.9394254045809796,2,64,False,0.0469,3.0
ton->bot,44,su_innesco,2,0.105,0.9363115599953964,0,0,False,0.0469,3.0
ton->bot,44,oracolo,2,0.105,0.9268584418711937,2,64,False,0.0469,3.0
ton->bot,44,stat_13x13,2,0.105,0.9443349354092136,2,64,False,0.0469,3.0
ton->bot,44,martingala,2,0.105,0.9363115599953964,0,0,False,0.0469,3.0
ton->bot,44,stat_13x13_adaptive,2,0.105,0.9341570024691215,2,64,False,0.0469,3.0
ton->bot,44,statico,3,0.158,0.9164082625093679,0,0,False,0.057,3.0
ton->bot,44,ogni_batch,3,0.158,0.9416565991704,3,96,False,0.057,3.0
ton->bot,44,su_innesco,3,0.158,0.9164082625093679,0,0,False,0.057,3.0
ton->bot,44,oracolo,3,0.158,0.9209559052187716,3,96,False,0.057,3.0
ton->bot,44,stat_13x13,3,0.158,0.9631629559158267,3,96,False,0.057,3.0
ton->bot,44,martingala,3,0.158,0.9164082625093679,0,0,False,0.057,3.0
ton->bot,44,stat_13x13_adaptive,3,0.158,0.9593888524102416,3,96,False,0.057,3.0
ton->bot,44,statico,4,0.211,0.9027387891071479,0,0,False,0.0656,3.0
ton->bot,44,ogni_batch,4,0.211,0.9250226457597102,4,128,False,0.0656,3.0
ton->bot,44,su_innesco,4,0.211,0.9027387891071479,0,0,False,0.0656,3.0
ton->bot,44,oracolo,4,0.211,0.9563935658643613,4,128,False,0.0656,3.0
